StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q49,Q5,Q8,Q8_3_TEXT,Q11,Q25#1_1,Q25#1_2,Q28#1_1,Q28#1_2,Q31#1_1,Q31#1_2,Q33#1_1,Q33#1_2,Q35#1_1,Q35#1_2,Q37#1_1,Q37#1_2,Q39#1_1,Q39#1_2,Q41#1_1,Q41#1_2,Q43#1_1,Q43#1_2,Q45#1_1,Q45#1_2,Q47#1_1,Q47#1_2,Q49#1_1,Q49#1_2,Q51#1_1,Q51#1_2,Q53#1_1,Q53#1_2,Q55#1_1,Q55#1_2,Q57#1_1,Q57#1_2,Q60#1_1,Q60#1_2,Q62#1_1,Q62#1_2
2020-03-22 01:26:32,2020-03-22 01:31:27,IP Address,46.10.220.149,100,294,True,2020-03-22 01:31:27,R_1cST8mDet7akd7X,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,444,Female,,Male,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,3 - Moderately interested,4 - Very interested,,,4 - Very interested,4 - Very interested,,,3 - Moderately interested,1 - Not at all interested,,,4 - Very interested,5 - Extremely interested,,,1 - Not at all interested,2 - Slightly interested,,
2020-03-22 01:17:50,2020-03-22 01:31:35,IP Address,151.251.254.213,100,824,True,2020-03-22 01:31:35,R_1JElPqrwEogOFKw,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,8112477,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,4 - Very interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,5 - Extremely interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,4 - Very interested,,
2020-03-22 02:13:56,2020-03-22 02:23:46,IP Address,149.62.202.63,100,590,True,2020-03-22 02:23:47,R_1QudkOW3pLwoK1p,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,1000,Male,,Female,,,3 - Moderately interested,1 - Not at all interested,,,4 - Very interested,4 - Very interested,,,4 - Very interested,1 - Not at all interested,,,4 - Very interested,1 - Not at all interested,,,3 - Moderately interested,4 - Very interested,,,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,3 - Moderately interested,3 - Moderately interested
2020-03-22 02:40:08,2020-03-22 02:48:02,IP Address,212.5.158.157,100,474,True,2020-03-22 02:48:03,R_2qEQaDxpgncxuJK,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,2020,Female,,Male,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,4 - Very interested,2 - Slightly interested,,,1 - Not at all interested,2 - Slightly interested,,
2020-03-22 03:13:01,2020-03-22 03:15:32,IP Address,82.30.14.8,100,150,True,2020-03-22 03:15:32,R_2zSXNHZzDFgcARy,,,,,50.916595458984375,-1.2678070068359375,anonymous,EN,I accept,,2000,Male,,Female,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,3 - Moderately interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,3 - Moderately interested
2020-03-22 03:39:14,2020-03-22 03:47:04,IP Address,91.92.42.5,100,470,True,2020-03-22 03:47:05,R_2wvsHxtikIXrpkv,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,2406,Female,,Male,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,2 - Slightly interested,,,3 - Moderately interested,2 - Slightly interested,,,4 - Very interested,2 - Slightly interested,,,2 - Slightly interested,3 - Moderately interested,,,4 - Very interested,3 - Moderately interested,,,2 - Slightly interested,3 - Moderately interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 03:25:07,2020-03-22 03:52:46,IP Address,94.155.65.190,100,1658,True,2020-03-22 03:52:46,R_3EgILCWZIuVcGOV,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,1997,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,4 - Very interested,3 - Moderately interested,,,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,4 - Very interested,4 - Very interested,,,3 - Moderately interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,2 - Slightly interested,3 - Moderately interested,,
2020-03-22 04:11:09,2020-03-22 04:14:19,IP Address,82.37.45.103,100,189,True,2020-03-22 04:14:19,R_zYBpF5EIUbvgwIV,,,,,55.9044036865234375,-3.2003021240234375,anonymous,EN,I accept,,200702,Female,,Both,1 - Not at all interested,1 - Not at all interested,,,,,4 - Very interested,5 - Extremely interested,4 - Very interested,3 - Moderately interested,,,,,4 - Very interested,4 - Very interested,3 - Moderately interested,5 - Extremely interested,,,,,3 - Moderately interested,3 - Moderately interested,5 - Extremely interested,5 - Extremely interested,,,,,4 - Very interested,3 - Moderately interested,1 - Not at all interested,2 - Slightly interested,,
2020-03-22 04:18:52,2020-03-22 04:21:40,IP Address,85.255.237.54,100,168,True,2020-03-22 04:21:41,R_1CI7bofN6oujv1J,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,I accept,,jhb3,Male,,Female,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,3 - Moderately interested,,,3 - Moderately interested,3 - Moderately interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,4 - Very interested,4 - Very interested
2020-03-22 04:14:58,2020-03-22 04:25:05,IP Address,94.236.129.134,100,606,True,2020-03-22 04:25:05,R_10TW4LzXlHBgQed,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,123,Female,,Male,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,4 - Very interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,4 - Very interested,,,3 - Moderately interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,5 - Extremely interested,5 - Extremely interested,,,3 - Moderately interested,5 - Extremely interested,,
2020-03-22 04:38:20,2020-03-22 04:43:14,IP Address,151.251.251.96,100,293,True,2020-03-22 04:43:14,R_12l6kyuJvOR9EfT,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,5799432,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,
2020-03-22 05:23:23,2020-03-22 05:31:02,IP Address,78.156.48.120,100,458,True,2020-03-22 05:31:02,R_3HzhG5lkuNYU1Je,,,,,50.158294677734375,12.643707275390625,anonymous,EN,I accept,,241996,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,3 - Moderately interested,3 - Moderately interested,,,4 - Very interested,4 - Very interested,,
2020-03-22 05:36:39,2020-03-22 05:38:11,IP Address,185.229.138.231,100,92,True,2020-03-22 05:38:11,R_248oeDflaUH0czn,,,,,41.4333038330078125,25.466705322265625,anonymous,EN,I accept,,1234,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 05:38:06,2020-03-22 05:40:08,IP Address,151.251.244.134,100,122,True,2020-03-22 05:40:08,R_2rBI3Jv8hzrMnMH,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,123,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,4 - Very interested,4 - Very interested,,,2 - Slightly interested,2 - Slightly interested,,,3 - Moderately interested,3 - Moderately interested,,,3 - Moderately interested,4 - Very interested,,
2020-03-22 05:36:14,2020-03-22 05:41:06,IP Address,77.76.1.244,100,291,True,2020-03-22 05:41:06,R_svYlmTzuaVmMGmR,,,,,42.268402099609375,23.1157073974609375,anonymous,EN,I accept,,2001,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,5 - Extremely interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,2 - Slightly interested,,,1 - Not at all interested,3 - Moderately interested,,,1 - Not at all interested,3 - Moderately interested,,
2020-03-22 05:39:54,2020-03-22 05:42:44,IP Address,151.251.246.185,100,170,True,2020-03-22 05:42:45,R_ba5JPdWwOrzgA8x,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,1234,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,4 - Very interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,4 - Very interested,4 - Very interested,,
2020-03-22 05:38:59,2020-03-22 05:43:15,IP Address,93.123.95.130,100,255,True,2020-03-22 05:43:15,R_22P788bhFBIpJiE,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,122345,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 05:41:27,2020-03-22 05:45:02,IP Address,2.121.29.199,100,215,True,2020-03-22 05:45:02,R_1o1hAhDkvaCi7oc,,,,,56.07110595703125,-3.7696075439453125,anonymous,EN,I accept,,Astral,Female,,Male,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 05:42:39,2020-03-22 05:45:37,IP Address,37.157.161.28,100,177,True,2020-03-22 05:45:37,R_2zBxgdjLSrL5KYQ,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,13572468,Female,,Both,2 - Slightly interested,1 - Not at all interested,,,,,1 - Not at all interested,1 - Not at all interested,1 - Not at all interested,1 - Not at all interested,,,,,2 - Slightly interested,1 - Not at all interested,1 - Not at all interested,1 - Not at all interested,,,,,2 - Slightly interested,1 - Not at all interested,3 - Moderately interested,1 - Not at all interested,,,,,3 - Moderately interested,2 - Slightly interested,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 05:42:24,2020-03-22 05:46:38,IP Address,212.5.158.64,100,254,True,2020-03-22 05:46:38,R_3rVxTnaooZmI6Fj,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,5555,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,4 - Very interested,,,2 - Slightly interested,1 - Not at all interested,,,4 - Very interested,2 - Slightly interested,,,3 - Moderately interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,4 - Very interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-22 05:43:26,2020-03-22 05:47:46,IP Address,77.76.19.2,100,260,True,2020-03-22 05:47:46,R_9H6njBSxfDQDkfn,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,33333,Female,,Male,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,4 - Very interested,,,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,3 - Moderately interested,3 - Moderately interested,,,4 - Very interested,4 - Very interested,,,5 - Extremely interested,4 - Very interested,,,1 - Not at all interested,2 - Slightly interested,,
2020-03-22 05:40:28,2020-03-22 05:48:16,IP Address,212.73.159.25,100,467,True,2020-03-22 05:48:16,R_SH6BtuUT3kM2OZP,,,,,43.26190185546875,26.588897705078125,anonymous,EN,I accept,,"P. P. ",Female,,Male,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,3 - Moderately interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,3 - Moderately interested,,,1 - Not at all interested,3 - Moderately interested,,,1 - Not at all interested,3 - Moderately interested,,
